tracer,passed,observed,z,efficiency,std,value_at_z,quantity
BGS,300017.0,303353.89282103133,0.295,0.989,0.15074178087046736,7.92512927,DV_over_rs
LRG1,506911.0,511514.6316851665,0.51,0.991,0.2519250364691846,13.6200308,DM_over_rs
LRG1,506911.0,511514.6316851665,0.51,0.991,0.6107116799276071,20.98334647,DH_over_rs
LRG2,771894.0,778904.1372351161,0.706,0.991,0.3193363634163826,16.84645313,DM_over_rs
LRG2,771894.0,778904.1372351161,0.706,0.991,0.5953563269169145,20.07872919,DH_over_rs
LRG3+ELG1,1876187.0,2265656.8108853125,0.93,0.8280984970830043,0.2820771587704329,21.70841761,DM_over_rs
LRG3+ELG1,1876187.0,2265656.8108853125,0.93,0.8280984970830043,0.34631731547816086,17.87612922,DH_over_rs
ELG2,1415707.0,1947327.372764787,1.317,0.727,0.6903403921255079,27.78720817,DM_over_rs
ELG2,1415707.0,1947327.372764787,1.317,0.727,0.42222091137223416,13.82372285,DH_over_rs
QSO,856652.0,1282413.1736526946,1.491,0.668,0.6686815318221373,26.07217182,DV_over_rs
Lya QSO,709565.0,1062223.0538922155,2.33,0.668,0.9432671562182159,39.70838281,DM_over_rs
Lya QSO,709565.0,1062223.0538922155,2.33,0.668,0.1708392364183357,8.52256583,DH_over_rs
