zmid,zlow,zhigh,nbar_desi_nx,S1_weight,sum_wwf,nbar_file
1.109983846,1.1,1.12,0.0002202738657,612255.689,325478.269,0.000538378649
1.130009103,1.12,1.14,0.0002175603602,613059.479,327796.967,0.0005343163034
1.149983727,1.14,1.16,0.0002167717966,618438.919,331231.939,0.0005254940898
1.169979075,1.16,1.18,0.0002157908664,623181.283,334474.827,0.0005193381097
1.190005576,1.18,1.2,0.0002124744509,620841.676,335608.633,0.0005102134922
1.209988722,1.2,1.22,0.0002089034485,615684.245,335410.556,0.0005040372636
1.230049812,1.22,1.24,0.0002021684676,601034.603,332306.784,0.0004861451005
1.250006737,1.24,1.26,0.0001999773237,601480.48,334172.665,0.0004757715465
1.269927472,1.26,1.28,0.0001936535675,586561.981,330529.285,0.0004568332621
1.289997378,1.28,1.3,0.0001899304933,579807.84,329488.326,0.0004456204373
1.309947198,1.3,1.32,0.0001856382772,572488.282,328534.199,0.0004430251246
1.330081834,1.32,1.34,0.000185836499,579158.111,332210.658,0.0004454672177
1.349945603,1.34,1.36,0.000182425766,571961.302,330670.224,0.000435869556
1.369948499,1.36,1.38,0.0001783312211,563711.816,329016.298,0.0004246854719
1.389984296,1.38,1.4,0.0001736108452,551553.026,325506.905,0.0004122308917
1.409989744,1.4,1.42,0.0001684247768,538416.985,321692.823,0.0004001428529
1.429951773,1.42,1.44,0.00016715926,538750.944,322868.857,0.0003964659679
1.449901707,1.44,1.46,0.0001622963732,524283.183,317904.308,0.0003843059496
1.469969763,1.46,1.48,0.0001564282658,508386.181,312715.804,0.0003691371434
1.489354084,1.48,1.5,0.0001405503795,453803.713,290489.861,0.0003211010537
1.509844861,1.5,1.52,0.0001143157108,367345.553,252079.128,0.0002571857853
1.52958134,1.52,1.54,0.0001042553848,333746.919,235527.067,0.0002380997662
1.550017938,1.54,1.56,0.0001022738673,331589.378,235320.729,0.0002367677741
1.570094384,1.56,1.58,0.0001035407927,339431.179,240022.639,0.0002396573688
1.589782003,1.58,1.6,9.515157392e-05,310799.614,225118.21,0.0002217701973
